,Position,Description
292,293. Shameless,"Be shameless. Experiment. This is the only way to satisfy your passion. Here’s how to master amazing Shameless sex position. The man lies on his back, his head is slightly raised. His legs are straight, but slightly apart with his penis open ready to enjoy a great time. The woman sits atop back to her lover. She leans forward and places the hands on both of his ankles. Her feet in man’s armpits. The female partner pins the lover to the bed and then begins moving back and forth, front to back."
293,294. Plumber,"Remember the plot of your favourite X-rated film, when a plumber calls on a beautiful housewife, and play that game in your bedroom. The girl will have to pay dearly for the “work” the man has pretended to do. The woman sits on the floor next to the chair and leans on it with her back. Her legs bent and spread apart. The man stands above her with one foot on the floor and the other on a chair. The male partner grabs the chair back and tilts his upper body forward. His penis is located directly above face of his lover, who is ready to start the game."
294,295. Iron throne,"Feel like the king trying this hot position. No throne in the world can substitute this “chair”. Get grinding and moving, she will love it. The woman stands on knees and twists her body to them with the head touching a hard surface. Her legs are pressed tightly together. The arms are folded together on the chest. The buttocks are raised straight up. The male partner squats down on top of the woman. He spreads his legs wide apart and puts the hands on his knees. The man penetrates his lover from the top and starts gently to avoid any awkward angles. The Iron throne position opens her legs up for a very nice view of the action!"
295,296. Awesome idea,"Take the pencil and put on the calendar exactly what position will you try tonight, or tomorrow, or later in the week. There’s so much to choose from. The man sits on the edge of the couch, bends the leg at the knee and puts it on the sofa. His straight leg is on the floor. He takes his hand behind the back as it is the main support and leans his body slightly back. The woman lies back on the sofa, holding herself on the elbows. She throws the leg on her lover’s shoulder, bends the other leg at the knee and puts it on his thigh."
296,297. Apollo,"The Greek deity of archery, music and dance was famous for his love affairs. It seems that he is in charge for designing that incredible sex position. It’s not for everyone, but it will give you a new spin. The man raises his woman by putting his palms under her buttocks. She throws her feet on his shoulders and wraps her arms around his neck. The male partner stands with straight back and legs slightly driven apart. In this sensual position, as they are facing each other, partners can kiss and really turn up the heat."
297,298. Vulgar chair,"Vulgarity is like fine wine: it should be uncorked on a special occasion and then only shared with the right person. Try the Vulgar chair sex position with the right partner to experience some spine-tingling pleasure. The man lies on his back with legs bent at the knees and pressing them as close to his body as possible, as if making a chair with the back of his body. The woman sits on the man’s buttocks, her arms are straight and are near the bend knees, her feet are flat and they are on the floor she supports on them. The male partner takes the hands of his lover and she needs to squat on the “chair”. Her hands are completely free for squeezing breasts, tapping or rubbing the clitoris."
298,299. Nice talk,"The man will love the look and feel of his woman straddling him, and having her in control will help him last longer, too. A bonus? Unlike the standard woman-on-top position, this one allows partners close and make eye contact. The man sits with his legs across the armchair, completely leaning his back to the armrest. He lifts his leg, hanging it down from the second armrest. The female partner sits on his penis so that her legs are on one side next to the leg of her male partner. One hand, she wraps around his neck. The other hand, she puts on the lover’s knee. The man supports her by grabbing her buttocks with one hand. The other hand is placed on lady’s leg, hanging down from the armchair."
299,300. Pleasure Bible,"Even religious and very shy girl will not mind making love and getting into the groove of this position. It produces intense orgasms and provides the deepest penetrations. The woman lies on her back and puts her hands behind her back. She presses her legs as close as possible to the body and places her feet above the head. The man stands above her, crouching and leaning forward a bit. With his hands he raises her buttocks to his penis and holds them in this position throughout the entire intercourse."
300,301. Feeder,"Explore every inch of your partner’s body. Find her erogenous zones to satisfy your mutual sexual hunger. The Feeder is a variation of the face-sitting oral sex position. The female partner climbs onto the table and squats with her back to the edge. Her arms are straight, palms are pressed to the tabletop, as they are the main support. The man sits in a chair backwards. His legs are spread wide apart. His upper body is leaned back. His face is under her crotch. His hands are free to caress the lady’s back and buttocks. He can also finger his lover while performing oral sex."
301,302. Intimate launch pad,"Intimate Launch Pad is an amazing all-access position to fire up your sexual hunger. The woman lies on her back, bends her knees and widely spreads them apart. She slips the hands under her knees grabs the ankle, relying on her core to stay stable. The man kneels down in front of the lover’s buttocks and slightly leans the body forward with the legs spread apart. He puts his hands on the female partner’s thighs. Intimate launch pad position gives a man a great view of girl’s body as she writhes in pleasure."
302,303. Pokemon,"The Pokemon sex position is for couples looking to mix things up and get a new perspective on things. Go slowly until everyone is in the right position and ready to rock. The male partner lies on his back on the exercise ball. He stabilizes himself by his feet and palms, placed in the floor. The female partner sits on the lover’s penis, throwing his legs over his buttocks. She puts her hands on his shoulders and tilts her body to her lover’s torso as close as possible, inviting him to kiss her bouncing breasts. In this position the woman is in control with regards to penetration so everyone is happy with the end result."
303,304. Reverse connection,"This sex position requires considerable flexibility and plenty of efforts, yet it is worth trying. The man kneels, spreads his legs wide apart and completely leans the upper part of his body forward. He puts one hand under his head. The other hand is bent at the elbow and pressed against the torso. A woman lies on her back between her partner’s legs, bringing her buttocks to her lover’s buttocks as close as possible. The female partner throws her legs onto the man’s hips and takes him by the shins. This sexual position is almost a novelty position. But if you follow these steps, you can get incredible pleasure."
304,305. Bent cowgirl,"This sex position is an easy way to ride each other crazy through direct penetration. Plus, it provides the female with penetration control, ensuring everyone feels great the entire time. The male partner sits on the bed and leans back a little. He supports himself by the palm of his outstretched hand. The woman sits on his hips with her back to him. She places her palms on his knees and arching her upper body on outstretched arms. Her straight legs are behind her lover’s back."
305,306. Low start,"Ready? Steady? Go! Revolutionize classic Doggy from zero to hero, achieving endless pleasure and intense connections. The female partner squats, staying on her tiptoes and bending the knees to lower herself onto him. She uses her palms to balance the body. The man kneels behind the lady. His body is straight like a string. He places his hands on her buttocks. The male partner enters his lover and then she uses her thighs to bounce up and down. Her vagina responds to these movements bringing both partners to earth-shattering orgasms."
306,307. Desert island,"Imagine that you are completely alone on an desert island, where you can do whatever you want, including having wild sex. The woman gets on knees on a chair, grabs its back with her hands and tries to keep her upper body as straight as possible. The man also kneels on a chair with his legs placed on the edges. He embraces his love by the waist. The man supports himself by holding the back of the chair. The proverbs says, the more the merrier, but the Desert Island sex position completely denies it, as it requires extremely little space to make love."
307,308. Barrier,"Stop! The man is completely overwhelmed and fully discouraged by the passion of his insatiable chosen one. Barrier posture is a clear confirmation of this. The partner lies on his back, slightly bends his legs and spreads them to the sides as widely as possible. A woman sits on top of her man in a semi-splits position, leaving one leg in the man’s groin area and placing the other behind his shoulder. The girl makes an emphasis on her palms and one knee, the man’s hands are absolutely free, and therefore they can easily caress her clit and chest at the same time."
308,309. Grasshopper,"In sex, there is no place for routine, as there are so many positions worth to try right now. The Grasshopper is one of them. You can experience this spooning variation without much effort. The man lies on his side on the edge of the sofa, bends his legs at the knees, spreads them apart, and crosses his ankles. It’s a kind of spooning sex position, so the woman lies with her back to the lover, supporting her upper body by the elbow. One of her legs touches the floor with the tiptoes. The other one is slightly bent and lifted up. In this position, the man can caress the girl’s breasts and kiss her lips, back, and neck."
309,310. Swing – 2,"Swing-2 is a position that will definitely help spice up your love life. Try these up-and-down movements to get into a more pleasurable groove on with your partner. The man lies on his back with legs bent at the knees and stretches the arms in front of him. The woman sits on his penis with face to the male partner, lifting and then lowering herself to control most of the penetration. She puts her hands on his thighs, raises her legs and places her feet into the palms of her partner."
310,311. Fantastic elevator,"The Fantastic elevator sex position has nothing to do with elevators. Nevertheless, you’ll definitely enjoy the up-and down ride. Embrace your inner crustacean with this simple to do, yet so hot and fun position. The man sits on the very edge of the armchair, leaning backward. He puts his feet on the tiptoes, bends legs at the knees and spreads them out as wide as possible. The woman climbs on top with her back to him. Burning with desire, she opens her core to him fully. Her legs are absolutely straight, as if she is doing the splits. She places her hands back and puts them on the lover’s body who takes over the reins in this amazing sex position."
311,312. Jamaican cocktail,"Jamaica is famous for many things, from the warm weather, to the white, sandy beaches which are better enjoyed with a refreshing drink and wild sex. The Jamaican cocktail position makes lovemaking a memorable experience. The lady stands on one knee and holds her body on an outstretched arm. The man kneels on one knee between the lover’s legs. He bends the second leg, creating a kind of chair to support her raised thigh. The second leg the woman throws on the male partner’s waist so that her foot was on his back. The Jamaican cocktail gives easy access to her clitoris, so she can stimulate it or play with breasts and nipples, increasing sexual pleasure."
312,313. Chef,"Eat only when you are hungry. Drink only when you’re thirsty. Screw only when you’re horny. The woman lies back on the table, bends her knees and spreads them wide apart. The man stands between her thighs with his legs spread shoulder-width apart. His outstretched arms are the tabletop on both sides of the female’s partner waist. He slightly leans his upper body forward. The mistress wraps her arms around his neck and moves his hips to get into a more pleasurable groove on with her lover."
313,314. St. Valentine’s Day,"Let every day be a holiday and a little sexual adventure! This position will definitely be one of the favourites for couples who enjoy exotic sex positions. The man stands with feet at shoulders width. The woman gets on her hands and holds her body on her palms. She bents her at the knees and embraces the buttocks of her male partner. The man grabs her by the hips helping her to be in this position and pull her onto the penis. Sex does not have to be boring, and the St. Valentine’s Day position is anything but boring. It will certainly give you an O."
314,315. Sucker Punch,"If your woman is looking to be dominated and helplessly to screamed for more, it’s the perfect choice. There should be no taboos and preconceived ideas when performing this sex position. The woman kneels on one knee and rests her belly on a fitness ball. She embraces her bent elbows and rest them on top of the ball. She leans her body slightly forward. The male partner gets on one knee between her legs. He lifts lover’s leg and puts it behind his back. He holds the lady in this position, with his hands on her shoulder and above the knee of the raised leg."
315,316. Low doggy,"No prize for guessing that you will adore this rear-entry position, which is a variation of the standard doggy. The woman kneels down and lies face down, legs and arms are driven apart. The male partner kneels between his lady’s legs. His legs are driven apart and feet are together. One arm of the man is straight, he puts it on palm and leans on it. With the second hand, he takes her by the hair to set the pace of the sexual encounter and the depth of penetration. The female partner can increase the friction and tightness by squeezing her legs together. The lady doesn’t have to do much staying in position. If she wants harder penetration, then she can push back onto her man with each stroke."
316,317. Merger,"There is something so connecting about having sex face to face, and this sex position gets it done. Connect deeply with your lover while you gaze into each other’s eyes, working towards a mutual orgasm that pleases you both. The man sits on the bed with legs bent at the knees and feet on the floor. The woman saddles his hips, facing her lover. Her legs are bent at the knees and rest on the sides of her partner’s buttocks. Her feet are hanging down from the edge of the bed. The lady takes her hands behind the back and closes them. She leans back a little, letting her man to kiss her breast. The man’s palms cover her buttocks and move them up and down."
317,318. Rear admiral,"A man is a soldier. He where he is told, and wins where he fights – in the battlefields, sea spaces or in the bedroom. The woman stands in the knee-elbow position and lowers her upper body to the floor. She bent arms at the elbows and puts them front of her breasts. The man positions himself above the girl so that her body is located between his legs spread wide apart. He slightly bends legs at the knees, leans forward, crouches and enters the woman from above. His feet are firmly pressed to the floor, and his hands rest on the loins of his mistress."
318,319. Watermelon,"It’s an exceptionally juicy position to get horny at once. That oh, so perfect angle for G-spot stimulation. It’s really exciting when she starts to moan and he starts to sigh. The man sits in a chair and leans back on its backrest with legs slightly driven apart. The woman sits on his hips with her back to her partner and fully leans forward, stabilizing her body by outstretched arms places on the floor. She takes her legs back and rests her tiptoes on the edge of the seat. The man can caresses her thighs, buttocks and anus, while he enjoys a seductive view."
319,320. Tantric cosmo,"Tantra is a pathway to sexual ecstasy. The Tantra cosmo sex position is the great chance of reaching the big O. The woman sits on the floor, keeping her legs pressed tightly together to the body. She holds the legs by wrapping her hands. The man also sits on the floor facing the female partner. His bent at the knees legs are spread wide apart. His feet are pressed against the lover’s buttocks. The partners join hands crosswise and lean backward a bit. Though the penetration is smooth and elegant it will bring both of you to orgasm."
320,321. Cobra,"The snake stood up for evil in the Garden. The Cobra sex position stands for OMG don’t-stop action in your bedroom. The woman lies on her belly on the armrest of the couch. The man stands behind her. The female partner lifts his legs to place them between his thighs. With his hands, he takes her feet and spreads them apart. In this position, the man’s back should be straight during the entire coitus and the legs should be shoulder-width apart."
321,322. Canadian,"This position is a unique take on Doggy style that requires more leg strength from the male partner, but gives a different penetration angle. The woman stands on one knee. Her second leg is bent and raised onto tiptoes. One hand she puts on her buttocks, the other one she places on the floor for balance and support. The man is behind her, standing on one knee. His second leg remains straight and is thrown aside. The male partner takes in his palm breasts or buttocks of his lady to play and fondle them during the love game. The man enjoys being in control in this position which can used for both rear-entry vaginal intercourse and anal sex. If he’s a “butt guy”, he’s going to like it even more."
322,323. Truck,"Driving fast cars is man’s favourite hobby. However, it is the second top-ranked. The first is lovemaking, of course. So, shut up and drive! The male partner sits comfortably in an armchair with his legs bent at the knees and driven apart as wide as possible. The woman sits on his penis atop facing the man. She completely rests the upper part of her body on his knees. She slips her legs under her elbows and hanging them down. The female partner grabs her lover’s arms just above his elbows. With his hands, he supports her back to make sexual intercourse pretty comfortable and safe."
323,324. Superwoman,"Superman always tries to save the world; superwoman tries to impress the guy in the bedroom. In the list of male dominant positions, the totally erotic and orgasmic Superwoman pose takes the cake! The woman lies on her back and lifts her body as high as possible. She kicks her separated wide apart feet backwards, stabilizes herself with her forearms on the bed and just enjoys the ride. The man sits on top of his partner and grabs her legs, pushing them slightly forward. One of his palms is placed the thigh of his beloved, while the other lies on the upper part of his own leg. The Superwoman position is the best way to explore each other like never before."
324,325. Zodiac,"Sex is the most ubiquitous and affordable pleasure ever. So do not hesitate to experience the unearthly bliss in the arms of your partner. The man sits in an armchair with legs slightly bent at the knees. His feet are pressed to the floor, and his back is straight. It is a sensual and elegant Rider variation, so the woman straddles the male partner and puts her feet on the armchair next to her lover’s buttocks. With her hands, she wraps his shoulders. His hands are closed behind her back. This position allows a woman to control the pace and depth of penetration, driving both of them crazy by moving her hips."
325,326. Fallen warrior,"Chinese proverb says, the true warrior seeks to act rather than talk. So quit talking and try this amazing sex position. The reason? Because it’s intimate, there’s lots of body contact, the man can thrust deeply, and the lady feels safe and fulfilled. The woman sits on the floor, slightly bends her legs and spreads them wide apart. The man kneels on her thighs atop and completely leans forward, supporting his body with half-bent arms, located on either side of the female partner’s foot. Her hands are free to squeeze, grab or pinch his buttocks, enhancing his pleasure."
326,327. Slow dance,"Sometimes slow sex road leads to O-land even faster. Just take the right position for slower, more erotic sex to increase intimacy with your partner. The female partner sits on the very edge of the table, takes hands behind her back and leans back, supporting on her palms. The man stands facing his partner. He throws one of girl’s legs on his shoulder. The second one, slightly bent at the knee, he puts on his thigh. He places his hands on woman’s buttocks to squeeze and move them up or down during the sexual intercourse."
327,328. Deck chair,"Woman will melt like ice cream in the sun, when man discovers the power of the Deck chair sex position. It is a must try, deep penetration position that enables the man to assume control. The woman lies on her back and pulls her legs to her breast, holding hips by hands. The man lies on his female partner and positions himself for ultimate, deep penetrative access. He kneels with his hips wide apart and his feet touching each other. The woman puts her legs on the man’s neck and wraps them over the male partner’s neck. His hands are stuck under her arms and shoulders and he lifts the female’s head with palms."
328,329. Holder,"The ideal position for those who are tired of having sex on the bed. So, if you like to add a little something extra to your sex-making experience, the Holder sex position takes it to the next level for both man and woman. The man sits on an exercise ball, bends his knees and spreads wide apart. The woman settles between his thighs with her back to her lover. Her legs are straight and driven apart. She leans forward for the perfect angle of penetration and places her hands on her calves for stabilization. The partner places his hands on the waists of his mistress and enters her body from behind."
329,330. Louise,"Louise position can be enjoyable for many couples because of the heightened level of intimacy. The male partner kneels down, clutching tightly his legs to the buttocks, and leans forward slightly. His knees are driven apart a bit. The woman is on his penis, squeezing the torso of her male partner with her legs bent on the sides. With one hand, she is hugging the man’s neck, the other hand puts on the man’s forearm. Her feet are next to the male partner’s knees. The lovers may rock back and forth or bounce slightly up and down during penetration. This position makes it easy to kiss, hug and touch the partner’s upper body, which create more closeness and intimacy."
330,331. Soft chair,"This delicate and incredibly intimate position is perfect for couples who like to experiment. It is easy to do, as it requires no strength or agility, and can feel extremely pleasurable, helping lovers to mix up things by adding in some furniture support. The man lies on his back on the edge of the bed, bends his knees and spreads them apart. The woman sits on the penis and buttocks of her lover with her back to him. Her feet are on the floor, her legs are slightly bent and driven apart. She puts her hands on her own thighs, while the men’s palms rest on the lady’s buttocks."
331,332. Astrologer,"Let astrology inspire you in the bedroom! This guaranteed-to-please position was created to count orgasms, not stars. The woman lies on her back, bends her elbows and lifts her pelvis. Her legs are spread as wide as possible and slightly bent. A man stands on one knee with his back to her buttocks. His second leg bends, yet he leans on his foot. The male partner put one palm on the surface to support himself. He uses his second palm to hold the lover’s shin, helping her to balance in a raised position. The woman should relax her tension, and let her lover do the work."
332,333. Marvelous stool,"You probably have no idea how much you can do with another person in a chair or stool. You will not regret of trying the Marvelous stool sex position, perfect for treating your partner! The man sits with his buttocks on the edge of the chair and fully leans his body back. His head rests against the back of the chair. The woman sits on the penis between the partner’s legs, takes them by the ankles and holds them driven apart. Her feet are on the floor, as they are her main support."
333,334. Fulcrum,"Guys tend to like exotic sex positions. So the Fulcrum is high up on his “I just want to try this” list. It is an excellent choice for well-trained men. The woman gets on four limbs with legs driven wide apart. Her body is inclined with head down supporting on elbows. The male partner stands on the elbows with his back to her buttocks and lifts his lower body to get access to her vagina. His hips are placed on the lady’s buttocks. His legs are bent at the knees and elevated in the air. To enjoy thrusting and rocking, the lovers must intensively move their hips."
334,335. Tug of war,"Tonight, do something a little different, for instance, the Tug of War sex position. It’s not a childish game anymore; it’s an erotic game you’ll both win. The man sits on a sofa with his legs spread slightly apart. He leans his body back and rests his nape against the back of sofa. With her buttocks, the woman sits on the male partner’s hips facing him. She bends her legs at the knees and rests her feet against the back of the sofa. The partners hold each other by the arms above the elbows and begin swaying movements."
335,336. Back door,"A mind blowing game between a man and a woman can last forever, but if it came to intimacy there is no time to contemplate. In the pose Black door a partner lies down on his side, slightly bends his legs and slightly raises one of them in this position. A girl arranges seated between his reins in such a way as to a man be able to throw his raised leg over her hip. Arms of a partner are widely set behind her back, and the main lean is on the feet or tips of the toes."
336,337. Dutch oven,"Sex should be sweet as candy and hot as hell, or at least an oven. Add this blow-minding position to your to-do list! The woman lies on her belly across the armchair, stretches her arms in front of her and places them on the floor to support her body. One of her legs is on a cushion, and the other one is bent at the knee and lifted in the air. The man stands on a knee on the armchair so that the female partner’s thigh is between his own ones. The man puts his outstretched arms on the armchair back close to the woman’s breasts."
337,338. Contortionist,"Having a super-flexible body comes with endless benefits. Offer your man this extravagant position and see his eyes pop out in holy-hell she’s an actual sex goddess amazement. The Contortionist sex position puts the girl in an extremely vulnerable, yet naughty and erotic pose! Only for the adventurous! The female partner positions herself into a bridge pose Yoga style, opening the crotch to the lover. The man sits on his shins between the legs of his mistress. He supports her hips with his hands and starts to stimulate female partner’s vagina with his mouth as he pleases."
338,339. Temptation,"Delicate and beautiful, the lady opens to her man, offering herself without a trace! How on earth he can resist such a temptation?! The woman lies back on the edge of the table, putting her elbows under her back. She presses her hips to the body and spreads straight legs wide apart. The man is attached to her buttocks with his penis. His legs are slightly bent at the knees and spread shoulder-width apart. The lady puts her legs on his shoulders. He sticks his hands under her back to make the penetration more comfortable and extremely deep."
339,340. Chili dog,"It is a fun rear entry position that will bring out the animal in both partners! It’s easy to do, but also super sexy! The woman gets on hands and knees, leaning forward and supporting her body with outstretched arms. The male partner is behind her with his legs spread as wide as possible. The girl is between his thighs. He puts one hand on his lover’s back. With the other he takes her by the neck or hair, depending on the couple’s preferences. Chili Dog is a great way to hit G-spot and achieve deeper penetration."
340,341. Deep throat,"This position is definitely man’s favorite, as it creates some of the deepest oral penetration he’s ever had during a blowjob. The woman lies on her back across the sofa, resting her feet on its edges. The man kneels so that the girl’s body is between his thighs. He bends his arms at the elbows and rests them on the back of the couch. The female partner lifts her head up and starts to play with her partner’s penis and testicles. With her hands, she grabs man’s hips to control the pace of penetration. The male partner will enjoy watching his penis thrusting in and out of her mouth, which is a huge fantasy for a lot of men."
341,342. Silence,"If you’re looking for a sex position that is sweeter and more intimate, the Silence has got you covered. It is honestly one of the sweeter, calmer, and nicer sex positions, placing both parties in control with complete eye contact. The man sits on an exercise ball with straight back, legs bent at the knees and driven apart. The female partner sits on the hips of her partner facing him. Her fingertips barely touch the floor. She embraces the lover by the shoulders and presses her body to his torso as close as possible. The male partner places his hands at the lady’s waist and slightly lifts her body up and down for deeper penetration."
342,343. American Pie,"They say, buy a cherry pie, and go fall in love with life. Try the American pie sex position and go fall in love with this awesome interpretation of 69 position. The man kneels down, throws the body back and holds it on the outstretched arms taken back. The woman climbs on a partner bringing her vagina to his face. She wraps her feet around his neck. She puts her head down guiding the mouth to his penis. The woman can’t use her hands, as she puts them on the surface to stabilize her body. Every tongue twist, every suck, every flick of the tongue makes partners feel amazing."
343,344. Recharge,"This missionary variation position is perfect for quick sex, so lovers can satisfy their physical needs without excessive mental activity and intricate movements. The woman lies on her back on the very edge of the bed. Her legs are straight and raised up. She presses one of them tightly to her body, placing her palm on her thigh. The man settles between the legs of the female partner. He raises one knee to the edge of the bed and leans the second on its sides. His body is tilted slightly forward and held on an outstretched arm, placed near the girl’s breast. With the second hand, he grabs the leg of his darling, helping it to remain straight and raised up."
344,345. Pie in the sky,"Good apple pies are a considerable part of domestic happiness. Let the Pie in the Sky sex position be a considerable part of your sex life. The woman kneels down and lies face down, folds her arms over her breasts and completely leans forward. The man stands back to the head of his darling so that she is positioned between his legs. He does not squat, just leans forward as far as possible towards the lover’s vagina and buttocks, inviting him to start hot oral games. It is cool sex position that provides entirely new angles to oral sex."
345,346. Spanish guitar,"Hold the girl in your arms like the Spanish guitar and play her through the night until the dawn, she will be the sweetest love song. The man sits in a chair with straight back and legs spread slightly apart. The woman sits on his hips across. She places her hands on man’s outer thighs and arches forward. Her legs touch the floor with their tiptoes and are taken under the chair. With one hand, the man supports her under the shoulder blades, and covers her knees with the palm of the second hand."
346,347. Guillotine,"This guillotine is not for carrying out executions by beheading, it’s a blowjob sex position to drive the man wild. Discover how to give your man the best blow job he’s ever received. The woman lies on her back. The male partner sits on top of her so that the lady’s head is between his legs. The man is not fully seated on the woman, he presses maximum on his knees, which are located behind the female partner’s shoulders. She raises her lower body up, spreads her legs and throws them on her lover’s shoulders. He pulls his hands back and takes her buttocks to stabilize the woman in such an interesting position. She is entirely subordinated to him. The male partner’s body remains straight. The lady stimulates her lover’s penis with her lips, mouth and tongue."
347,348. Tulip,"When the smell of sex makes man wild, when the desire to be filled spread from woman’s hips to the tips of her toes, it’s high time to try this very sensible position. The man sits on the bed. He bends his leg at the knee and puts it on the seat of the couch. The second one hangs off the edge and rests against the floor with the foot. He takes his arm back to support his body and slightly tilts his body back. The woman sits with her buttocks between the legs of her partner. She bends her legs at the knees a little and crosses her legs. She bends her arms at the elbows, takes them back to support her upper body."
348,349. Moonlight,"Passion deprives people the ability to think straight and fills their bodies with the desire which demands an immediate way out through intimacy. Moonlight pose will be a perfect helper in such an explicit thing. A man need just to sit on the floor and open up, and a woman should lie between them on her back, put her legs behind the opponent and take pleasure in. For more convenience a partner can hold his lover by the back and slightly rock her in time with his pushes."
349,350. XXX,"Enlarge your sex-position collection with this super hot one! As there’s nothing like the feeling of impulsive, must-have-it-right-now sex. The woman lies on her back horizontally in the armchair with her nape on the armrest. Her legs are bent, driven apart and raised up. The man is between her legs, slightly bends his knees and spreads them to the sides so that the furniture does not interfere the frictions. He supports his body on the outstretched arms, placed near his lover’s shoulders. She puts her hands on his hips."
350,351. Appetite,"If your sexual appetite wants to taste something new, just come to your partner and tell her, ever so seductively, “I’m in charge tonight”. The man sits in a chair in front of the table with relaxed legs driven apart. He leans his body to the back of the chair. The woman sits on his penis atop with her back to him. Her legs are spread apart and placed on the sides of the chair. Her arms are bent at the elbows and lie on the tabletop. The body is leaned forward. The male partner takes the lady by the waist and rocks her back and forth."
351,352. Weightlessness,"Human thoughts are material. Become creative and materialize your thoughts of having wild, hot and intense sex in this kinky sex position. The female partner kneels, leans forward, bends her elbows, puts them and her head on the fitness ball. The man gets between her legs, bends his knees, taking a comfortable position, takes the lady’s hips and lifts her upper body on him, while the woman remains in a horizontal position. The woman leans her legs on the man’s back, so her feet come together on her lover’s buttocks."
352,353. Captivity,"You should not escape the sweet captivity of your partner’s arms. They are not only strong, but incredibly pleasant as well. The man sits on the edge of the bed, bends his knees and spreads them wide apart. The woman saddles her lover face to face. She stretches her legs along his buttocks, grabs her partner’s hips and fully leans forward so that her head hangs off the bed. The man leans forward slightly to his darling and holds her shoulders in that position. It is a new take on the woman-dominated sex position. Ladies love the way it feels and, of course, so do the men."
353,354. Compliment,"Praise your woman while she is pleasuring all your favorite parts! This position is rather comfortable for her and oh so much fun for him! The man kneels on the edge of the bed with legs spread wide apart. The woman sits down, cuddling tightly her knees to the foot of the furniture. She leans her upper body forward and puts her palms on her partner’s buttocks. In turn, he takes her face with his hands and suggests the steady rhythm, as speed, rhythm, and pressure really work out on every man."
354,355. Bowstring,"Get your daily work out in and climax with Bowstring sex position. This deliciously sensual position is perfect for male and female relationships. Gaze into your partner’s eyes while you watch him move and moan. The woman sits on the very edge of a chair and leans her body against its back. She puts one of her legs on the tips of her toes, and raises the other leg up. The man gets on one knee between her thighs. He throws the female’s leg on his shoulder and holds it with his hand by the knee. She grabs his knee as well."
355,356. Lazy evening,"6 a.m. – sex, 11 p.m. – sex. This position is a perfect start or finish of a day. It doesn’t require rush movements or acrobatics, everything is much easier, yet amazing. The woman lies on the edge of the sofa with her hands on the head. Her hips are pressed together and feet touch the floor. The man lies half turn behind his partner, bends the leg at the knee and rests it against the armrest. His other leg is on the floor. He lifts the lover’s buttocks and sticks his penis into her vagina."
356,357. Athlete,"Unfortunately, sex is not an Olympic sport. However, to diversify sex life, you need flexibility, stamina and good physical shape. The Athlete sex position is a great way to get your cardio and stretching. The man is standing with slightly bent legs. His body leans forward, as if he is preparing for Ready, Steady, Go. The woman lies between his legs. With her hands she takes her partner by the hips and tightens her lower part of body to wrap her legs around his neck. The male partner places his hands just above her knees and penetrates her from above."
357,358. Shy girl,"Are you introvert or extrovert? Never mind! Try this awesome sex position. The woman is not going crazy wild in the sack, but her orgasm is better on top. The man sits in the armchair, his body leaning backward as much as possible. His legs are driven apart. A woman sits on his penis atop with her back to him. Her legs are bent at the knees and completely pressed up to the buttocks. She puts her tiptoes on the vacant edge of the armchair between the partner’s hips. With her hands, she spreads the buttocks, giving him access to her vagina from behind. The man supports her by holding her hips."
358,359. Pterodactyl,"The pterodactyl was a fierce-looking creature that thrived in the days of dinosaurs. Just forget! As we are talking about spice-adding Pterodactyl sex position. A man with a height above average will definitely love this position. It is easy to feel oh so good for both of partners. The woman stands on her tiptoes facing the table with her legs slightly driven apart. She supports herself by the hands placed on the tabletop. Her body is bent forward. The man stands behind her. He lifts the leg to put it on the table, bending it at the knee. He enters the partner from behind. He can support himself, grabbing the edge of the furniture. The male partner can squeeze or pinch the lover’s bouncing breasts or stimulates the other erogenous spots. The Pterodactyl sex position is ideal if you want the ultimate in sexual pleasure."
359,360. Hard worker,"This position is perfect for a couple who are bored to have sex in the bed. Fitness ball can be comfortable ad well. The woman lies on her back on the fitness ball, slightly leaning back, and supports herself by the hands placed apart. She bends her legs at the knees, lifts and drives them as wide as possible. The man stands between the hips of his darling, resting his knees on the ball. He leans forward slightly, outstretches arms and sticks his hands under her back."
360,361. Kinky spider,"This sex position is super fun to try it, so include it in your must-do list. Rather than typical in-and-out thrusting, the Kinky spider lets partners please each other with grinding and circular motions. The male partner sits at the edge of the bed, fully climbing it. He gets down on his back and arches his back as if he is going into bridge-shaped position. He keeps with hips level with the rest of the body and braces himself with his arms on the bed. The woman is located opposite him on the bed. She rests one of her feet on the partner’s shoulder, slips the other leg under his knee and lowers it to the floor to touch the surface with the tips of her toes. She takes her arms back to balance her body in this super fun to try sex position."
361,362. Courtesan,A woman can easily drive her man wild in the bedroom with caressing his erogenous spots. Get this right and he is about to explode in body-shaking orgasm. The man sits in a chair with straight back and legs driven apart. The female partner sits on his hips facing the man and lowers her vagina on his penis. She takes her hands back and puts them on his knees. She throws her legs on his shoulders and rests her heels on the back of a chair. The male partner grabs her knees with his hands and moves his hips in sync with her rhythm.
362,363. Young stallion,"Green years are the best time of life to experiment with the most incredible, crazy and weird sex positions. Rough and animalistic the Young stallion sex position puts man in control. The woman gets on her knees on the sofa, grabs its armrest and lowers her upper body completely down. The man gets on the knee over the female partner’s buttocks. He bends the other leg as well, but puts it on foot. The male partner places his hands on the lover’s back and enters her vagina from above."
